STT,Current Allocation,New Allocation,WH Location,Area,Line,Bay,Level,Position,Length,Width,Height,CBM,
1,A6.20,SG-F0101-11,SG,F,1,1,1,1,30,45,40,0.054,
2,A6.19,SG-F0101-12,SG,F,1,1,1,2,30,45,40,0.054,
3,A6.18,SG-F0101-13,SG,F,1,1,1,3,30,45,40,0.054,
4,A6.17,SG-F0101-14,SG,F,1,1,1,4,30,45,40,0.054,
5,A6.16,SG-F0101-21,SG,F,1,1,2,1,30,45,40,0.054,
6,A6.15,SG-F0101-22,SG,F,1,1,2,2,30,45,40,0.054,
7,A6.14,SG-F0101-23,SG,F,1,1,2,3,30,45,40,0.054,
8,A6.13,SG-F0101-24,SG,F,1,1,2,4,30,45,40,0.054,
9,A6.12,SG-F0101-31,SG,F,1,1,3,1,30,45,40,0.054,
10,A6.11,SG-F0101-32,SG,F,1,1,3,2,30,45,40,0.054,
11,A6.10,SG-F0101-33,SG,F,1,1,3,3,30,45,40,0.054,
12,A6.09,SG-F0101-34,SG,F,1,1,3,4,30,45,40,0.054,
13,A6.08,SG-F0101-41,SG,F,1,1,4,1,30,45,40,0.054,
14,A6.07,SG-F0101-42,SG,F,1,1,4,2,30,45,40,0.054,
15,A6.06,SG-F0101-43,SG,F,1,1,4,3,30,45,40,0.054,
16,A6.05,SG-F0101-44,SG,F,1,1,4,4,30,45,40,0.054,
17,A6.04,SG-F0101-51,SG,F,1,1,5,1,30,45,40,0.054,
18,A6.03,SG-F0101-52,SG,F,1,1,5,2,30,45,40,0.054,
19,A6.02,SG-F0101-53,SG,F,1,1,5,3,30,45,40,0.054,
20,A6.01,SG-F0101-54,SG,F,1,1,5,4,30,45,40,0.054,
21,A5.20,SG-F0102-11,SG,F,1,2,1,1,30,45,40,0.054,
22,A5.19,SG-F0102-12,SG,F,1,2,1,2,30,45,40,0.054,
23,A5.18,SG-F0102-13,SG,F,1,2,1,3,30,45,40,0.054,
24,A5.17,SG-F0102-14,SG,F,1,2,1,4,30,45,40,0.054,
25,A5.16,SG-F0102-21,SG,F,1,2,2,1,30,45,40,0.054,
26,A5.15,SG-F0102-22,SG,F,1,2,2,2,30,45,40,0.054,
27,A5.14,SG-F0102-23,SG,F,1,2,2,3,30,45,40,0.054,
28,A5.13,SG-F0102-24,SG,F,1,2,2,4,30,45,40,0.054,
29,A5.12,SG-F0102-31,SG,F,1,2,3,1,30,45,40,0.054,
30,A5.11,SG-F0102-32,SG,F,1,2,3,2,30,45,40,0.054,
31,A5.10,SG-F0102-33,SG,F,1,2,3,3,30,45,40,0.054,
32,A5.09,SG-F0102-34,SG,F,1,2,3,4,30,45,40,0.054,
33,A5.08,SG-F0102-41,SG,F,1,2,4,1,30,45,40,0.054,
34,A5.07,SG-F0102-42,SG,F,1,2,4,2,30,45,40,0.054,
