,New Allocation
0,SG-F0101-11
1,SG-F0101-12
2,SG-F0101-13
3,SG-F0101-14
4,SG-F0101-21
5,SG-F0101-22
6,SG-F0101-23
7,SG-F0101-24
8,SG-F0101-31
9,SG-F0101-32
10,SG-F0101-33
11,SG-F0101-34
12,SG-F0101-41
13,SG-F0101-42
14,SG-F0101-43
15,SG-F0101-44
16,SG-F0101-51
17,SG-F0101-52
18,SG-F0101-53
19,SG-F0101-54
20,SG-F0102-11
21,SG-F0102-12
22,SG-F0102-13
23,SG-F0102-14
24,SG-F0102-21
25,SG-F0102-22
26,SG-F0102-23
27,SG-F0102-24
28,SG-F0102-31
29,SG-F0102-32
30,SG-F0102-33
31,SG-F0102-34
32,SG-F0102-41
33,SG-F0102-42
34,SG-F0102-43
35,SG-F0102-44
36,SG-F0102-51
37,SG-F0102-52
38,SG-F0102-53
39,SG-F0102-54
40,SG-F0103-11
41,SG-F0103-12
42,SG-F0103-13
43,SG-F0103-14
44,SG-F0103-21
45,SG-F0103-22
46,SG-F0103-23
47,SG-F0103-24
48,SG-F0103-31
49,SG-F0103-32
50,SG-F0103-33
51,SG-F0103-34
52,SG-F0103-41
53,SG-F0103-42
54,SG-F0103-43
55,SG-F0103-44
56,SG-F0103-51
57,SG-F0103-52
58,SG-F0103-53
59,SG-F0103-54
60,SG-F0104-11
61,SG-F0104-12
62,SG-F0104-13
63,SG-F0104-14
64,SG-F0104-21
65,SG-F0104-22
66,SG-F0104-23
67,SG-F0104-24
68,SG-F0104-31
69,SG-F0104-32
70,SG-F0104-33
71,SG-F0104-34
72,SG-F0104-41
73,SG-F0104-42
74,SG-F0104-43
75,SG-F0104-44
76,SG-F0104-51
77,SG-F0104-52
78,SG-F0104-53
79,SG-F0104-54
80,SG-F0105-11
81,SG-F0105-12
82,SG-F0105-13
83,SG-F0105-14
84,SG-F0105-21
85,SG-F0105-22
86,SG-F0105-23
87,SG-F0105-24
88,SG-F0105-31
89,SG-F0105-32
90,SG-F0105-33
91,SG-F0105-34
92,SG-F0105-41
93,SG-F0105-42
94,SG-F0105-43
95,SG-F0105-44
96,SG-F0105-51
97,SG-F0105-52
98,SG-F0105-53
99,SG-F0105-54
100,SG-F0106-11
101,SG-F0106-12
102,SG-F0106-13
103,SG-F0106-14
104,SG-F0106-21
105,SG-F0106-22
106,SG-F0106-23
107,SG-F0106-24
108,SG-F0106-31
109,SG-F0106-32
110,SG-F0106-33
111,SG-F0106-34
112,SG-F0106-41
113,SG-F0106-42
114,SG-F0106-43
115,SG-F0106-44
116,SG-F0106-51
